name,duration,release_date,album_name,explicit,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,primary_emotion,emotion_confidence,happy_score,sad_score,energetic_score,relaxed_score,melancholic_score,triumphant_score,ethereal_score
🪐,53.184,2021-10-15,Music Of The Spheres,False,62,0.887,0.326,0.322,0.841,0.116,-20.192,0.0337,89.657,4,0.0651,sad,0.8396258333333334,0.16037416666666668,0.8396258333333334,0.2663666666666667,0.5778775,0.6896258333333334,0.20426833333333333,0.7338800000000001
Higher Power,206.681,2021-10-15,Music Of The Spheres,False,71,0.00643,0.507,0.832,1.6e-05,0.229,-5.931,0.0425,177.894,4,0.485,energetic,0.85748,0.638845,0.361155,0.85748,0.18626500000000001,0.41035499999999997,0.72329,0.05661500000000001
Humankind,266.704,2021-10-15,Music Of The Spheres,False,68,0.000172,0.575,0.838,0.000103,0.458,-6.498,0.0454,135.006,4,0.215,energetic,0.6905199999999999,0.442905,0.5570949999999999,0.6905199999999999,0.23648500000000003,0.6098950000000001,0.5462100000000001,0.10568600000000003
✨,53.033,2021-10-15,Music Of The Spheres,False,59,0.805,0.0859,0.289,0.99,0.141,-17.24,0.0359,166.784,4,0.038,sad,0.8015133333333333,0.19848666666666664,0.8015133333333333,0.5042466666666666,0.39614000000000005,0.6515133333333333,0.30877333333333334,0.7082
Let Somebody Go,241.595,2021-10-15,Music Of The Spheres,False,76,0.193,0.592,0.342,0.00245,0.11,-8.93,0.0339,130.953,4,0.155,sad,0.7452724999999999,0.2547275,0.7452724999999999,0.42301000000000005,0.4826174999999999,0.5952725,0.317055,0.36289999999999994
❤️,188.966,2021-10-15,Music Of The Spheres,False,65,0.97,0.348,0.0491,0.000186,0.0918,-15.431,0.0404,136.68,1,0.232,ethereal,0.82387,0.21782999999999997,0.78217,0.30335,0.63015,0.63217,0.24024,0.82387
People of The Pride,217.266,2021-10-15,Music Of The Spheres,True,66,0.00581,0.432,0.613,0.0151,0.312,-6.785,0.0349,136.362,4,0.0911,sad,0.697805,0.302195,0.697805,0.5701499999999999,0.320815,0.6156050000000001,0.40891,0.200785
Biutyful,192.394,2021-10-15,Music Of The Spheres,False,66,0.0168,0.614,0.68,0.00056,0.118,-7.84,0.0425,153.937,4,0.347,energetic,0.6878233333333335,0.49048083333333337,0.5095191666666666,0.6878233333333335,0.29455749999999997,0.46751916666666665,0.5673616666666668,0.135
🌎,21.388,2021-10-15,Music Of The Spheres,False,19,0.969,0.115,0.907,0.981,0.98,-20.358,0.223,189.885,3,0.0185,energetic,0.85535,0.3832,0.6168,0.85535,0.05019999999999999,0.711,0.5702,0.6087
My Universe,226.198,2021-10-15,Music Of The Spheres,False,84,0.0114,0.573,0.711,0.0,0.328,-6.268,0.0406,105.006,4,0.47,energetic,0.55252,0.532805,0.467195,0.55252,0.42598499999999995,0.443795,0.54741,0.09840000000000002
♾,226.14,2021-10-15,Music Of The Spheres,False,62,0.00941,0.576,0.896,0.955,0.153,-8.994,0.0412,135.01,4,0.412,energetic,0.7392333333333333,0.5785083333333333,0.42149166666666676,0.7392333333333333,0.24687500000000004,0.5090916666666667,0.6482166666666668,0.053505
Coloratura,617.057,2021-10-15,Music Of The Spheres,False,61,0.629,0.285,0.265,0.179,0.066,-10.836,0.0288,134.055,4,0.0699,sad,0.8168475000000001,0.1831525,0.8168475000000001,0.38634,0.49634249999999996,0.6668475,0.25738500000000003,0.62102
Sunrise,151.093,2019-11-22,Everyday Life,False,27,0.939,0.146,0.216,0.54,0.0773,-12.302,0.0399,78.045,4,0.0341,sad,0.8997024999999998,0.10029750000000001,0.8997024999999998,0.17156000000000002,0.6537075000000001,0.7497024999999999,0.130115,0.79788
Church,230.013,2019-11-22,Everyday Life,False,17,0.00865,0.449,0.736,0.145,0.147,-6.98,0.0368,123.973,4,0.133,sad,0.6460891666666667,0.3539108333333333,0.6460891666666667,0.5945433333333333,0.29866750000000003,0.6376891666666666,0.4542216666666667,0.156925
Trouble In Town,278.906,2019-11-22,Everyday Life,True,15,0.427,0.595,0.315,0.648,0.111,-11.456,0.0296,96.018,4,0.336,sad,0.6738849999999998,0.32611500000000004,0.6738849999999998,0.31116000000000005,0.6196550000000001,0.5238849999999999,0.32043000000000005,0.45180000000000003
BrokEn,150.2,2019-11-22,Everyday Life,False,15,0.923,0.55,0.271,0.0,0.147,-11.836,0.0495,130.151,4,0.521,ethereal,0.6844,0.45235916666666665,0.5476408333333334,0.4214366666666667,0.5933225,0.39764083333333333,0.4337183333333334,0.6844
Daddy,298.32,2019-11-22,Everyday Life,False,28,0.931,0.633,0.18,0.801,0.513,-19.54,0.034,116.981,4,0.2,sad,0.7785158333333333,0.22148416666666665,0.7785158333333333,0.29993666666666663,0.6075475000000001,0.6285158333333333,0.24696833333333335,0.7715000000000001
